Home > Away,Season Start,Label,More Home than Away,HOME V AWAY,Home < Away,Number of Records,Home Attendance,Home Games,Rank,Road Attendance,Road Games,Season,Team,Total Attendance,Total Games
Home,1/1/2012,0,1,33581,,1,466229,24,5,432648,24,2012-13,Toronto,898877,48
Home,1/1/2012,0,1,40545,,1,465801,24,6,425256,24,2012-13,Ottawa,891057,48
Home,1/1/2012,0,1,62424,,1,462936,24,7,400512,24,2012-13,Calgary,863448,48
Home,1/1/2012,0,1,36065,,1,457337,24,8,421272,24,2012-13,Tampa Bay,878609,48
Home,1/1/2012,0,1,38290,,1,455290,24,9,417000,24,2012-13,Buffalo,872290,48
Home,1/1/2017,0,1,6947,,1,739740,41,17,732793,41,2017-18,Vegas,1472533,82
Home,1/1/2012,0,1,36420,,1,454740,24,10,418320,24,2012-13,Vancouver,873060,48
Home,1/1/2012,0,1,36907,,1,451075,24,11,414168,24,2012-13,Minnesota,865243,48
Home,1/1/2012,0,1,18944,,1,447560,24,12,428616,24,2012-13,Pittsburgh,876176,48
Home,1/1/2012,0,1,17231,,1,436295,24,13,419064,24,2012-13,Los Angeles,855359,48
,1/1/2012,0,0,-4850,Road,1,425638,24,14,430488,24,2012-13,Washington,856126,48
,1/1/2012,0,0,-21120,Road,1,421560,24,15,442680,24,2012-13,Boston,864240,48
Home,1/1/2012,0,1,9272,,1,421472,24,16,412200,24,2012-13,San Jose,833672,48
,1/1/2012,0,0,-4479,Road,1,421401,24,17,425880,24,2012-13,Carolina,847281,48
,1/1/2012,0,0,-8096,Road,1,414328,24,18,422424,24,2012-13,St. Louis,836752,48
,1/1/2012,0,0,-30168,Road,1,412800,24,19,442968,24,2012-13,NY Rangers,855768,48
,1/1/2017,0,0,-12620,Road,1,731899,41,18,744519,41,2017-18,NY Rangers,1476418,82
,1/1/2012,0,0,-20781,Road,1,410739,24,20,431520,24,2012-13,New Jersey,842259,48
Home,1/1/2012,0,1,5217,,1,409521,24,21,404304,24,2012-13,Dallas,813825,48
,1/1/2012,0,0,-21458,Road,1,407806,24,22,429264,24,2012-13,Florida,837070,48
,1/1/2012,0,0,-9926,Road,1,407386,24,23,417312,24,2012-13,Nashville,824698,48
,1/1/2012,0,0,-20904,Road,1,404136,24,24,425040,24,2012-13,Edmonton,829176,48
