City,Nickname,Number of Records,Price per Ounce,Price,Size,Team,Year
Chicago,White Sox,1,0.4375,7,16,Chicago White Sox,2018
Cincinnati,Reds,1,0.446428571,6.25,14,Cincinnati Reds,2018
Cleveland,Indians,1,0.416666667,5,12,Cleveland Indians,2018
Colorado,Rockies,1,0.25,3,12,Colorado Rockies,2018
Detroit,Tigers,1,0.416666667,5,12,Detroit Tigers,2018
Houston,Astros,1,0.428571429,6,14,Houston Astros,2018
Kansas City,Royals,1,0.333333333,4,12,Kansas City Royals,2018
Anaheim,Angels,1,0.375,4.5,12,Los Angeles Angels,2018
Los Angeles,Dodgers,1,0.390625,6.25,16,Los Angeles Dodgers,2018
Miami,Marlins,1,0.5,6,12,Miami Marlins,2018
Milwaukee,Brewers,1,0.4375,7,16,Milwaukee Brewers,2018
Minnesota,Twins,1,0.425,8.5,20,Minnesota Twins,2018
New York,Mets,1,0.525,10.5,20,New York Mets,2018
New York,Yankees,1,0.5,6,12,New York Yankees,2018
Oakland,Athletics,1,0.458333333,5.5,12,Oakland Athletics,2018
Philadelphia,Phillies,1,0.5,6,12,Philadelphia Phillies,2018
Pittsburgh,Pirates,1,0.375,6,16,Pittsburgh Pirates,2018
San Diego,Padres,1,0.416666667,5,12,San Diego Padres,2018
San Francisco,Giants,1,0.589285714,8.25,14,San Francisco Giants,2018
Seattle,Mariners,1,0.416666667,5,12,Seattle Mariners,2018
St. Louis,Cardinals,1,0.416666667,5,12,St. Louis Cardinals,2018
Tampa,Rays,1,0.416666667,5,12,Tampa Bay Rays,2018
Arlington,Rangers,1,0.375,6,16,Texas Rangers,2018
Toronto,Blue Jays,1,0.405,5.67,14,Toronto Blue Jays,2018
Washington,Nationals,1,0.5,7,14,Washington Nationals,2018
,MLB Average,1,0.427142857,5.98,14,MLB Average,2018
