Mortality Rate,2013 Survival Rate,Cancer Type,Use Me,Gender,Number of Records,Race,Survival Rate,Year
0.404,,Colon and rectum,total,total,1,All races,0.596,1989
0.388,,Colon and rectum,total,total,1,All races,0.612,1992
0.401,,Colon and rectum,total,total,1,All races,0.599,1995
0.376,,Colon and rectum,total,total,1,All races,0.624,1998
0.349,,Colon and rectum,total,total,1,All races,0.651,2001
0.34,,Colon and rectum,total,total,1,All races,0.66,2006
0.337,0.663,Colon and rectum,total,total,1,All races,0.663,2013
0.541,,Colon and rectum,females,females,1,Black,0.459,1977
0.531,,Colon and rectum,females,females,1,Black,0.469,1980
0.505,,Colon and rectum,females,females,1,Black,0.495,1983
0.51,,Colon and rectum,females,females,1,Black,0.49,1986
0.455,,Colon and rectum,females,females,1,Black,0.545,1989
0.485,,Colon and rectum,females,females,1,Black,0.515,1992
0.479,,Colon and rectum,females,females,1,Black,0.521,1995
0.471,,Colon and rectum,females,females,1,Black,0.529,1998
0.47,,Colon and rectum,females,females,1,Black,0.53,2001
0.409,,Colon and rectum,females,females,1,Black,0.591,2006
0.399,0.601,Colon and rectum,females,females,1,Black,0.601,2013
0.567,,Colon and rectum,males,males,1,Black,0.433,1977
0.566,,Colon and rectum,males,males,1,Black,0.434,1980
0.571,,Colon and rectum,males,males,1,Black,0.429,1983
0.525,,Colon and rectum,males,males,1,Black,0.475,1986
0.501,,Colon and rectum,males,males,1,Black,0.499,1989
0.456,,Colon and rectum,males,males,1,Black,0.544,1992
0.487,,Colon and rectum,males,males,1,Black,0.513,1995
0.449,,Colon and rectum,males,males,1,Black,0.551,1998
0.446,,Colon and rectum,males,males,1,Black,0.554,2001
0.455,,Colon and rectum,males,males,1,Black,0.545,2006
0.425,0.575,Colon and rectum,males,males,1,Black,0.575,2013
0.554,,Colon and rectum,total,total,1,Black,0.446,1977
0.546,,Colon and rectum,total,total,1,Black,0.454,1980
0.535,,Colon and rectum,total,total,1,Black,0.465,1983
0.516,,Colon and rectum,total,total,1,Black,0.484,1986
0.477,,Colon and rectum,total,total,1,Black,0.523,1989
0.471,,Colon and rectum,total,total,1,Black,0.529,1992
0.483,,Colon and rectum,total,total,1,Black,0.517,1995
0.461,,Colon and rectum,total,total,1,Black,0.539,1998
0.459,,Colon and rectum,total,total,1,Black,0.541,2001
0.43,,Colon and rectum,total,total,1,Black,0.57,2006
0.412,0.588,Colon and rectum,total,total,1,Black,0.588,2013
0.493,,Colon and rectum,females,females,1,White,0.507,1977
0.475,,Colon and rectum,females,females,1,White,0.525,1980
0.457,,Colon and rectum,females,females,1,White,0.543,1983
0.417,,Colon and rectum,females,females,1,White,0.583,1986
0.405,,Colon and rectum,females,females,1,White,0.595,1989
0.379,,Colon and rectum,females,females,1,White,0.621,1992
0.394,,Colon and rectum,females,females,1,White,0.606,1995
0.368,,Colon and rectum,females,females,1,White,0.632,1998
0.343,,Colon and rectum,females,females,1,White,0.657,2001
0.334,,Colon and rectum,females,females,1,White,0.666,2006
0.327,0.673,Colon and rectum,females,females,1,White,0.673,2013
0.507,,Colon and rectum,males,males,1,White,0.493,1977
0.494,,Colon and rectum,males,males,1,White,0.506,1980
0.455,,Colon and rectum,males,males,1,White,0.545,1983
0.415,,Colon and rectum,males,males,1,White,0.585,1986
0.395,,Colon and rectum,males,males,1,White,0.605,1989
0.383,,Colon and rectum,males,males,1,White,0.617,1992
0.397,,Colon and rectum,males,males,1,White,0.603,1995
0.372,,Colon and rectum,males,males,1,White,0.628,1998
0.326,,Colon and rectum,males,males,1,White,0.674,2001
0.326,,Colon and rectum,males,males,1,White,0.674,2006
0.33,0.67,Colon and rectum,males,males,1,White,0.67,2013
0.499,,Colon and rectum,total,total,1,White,0.501,1977
0.484,,Colon and rectum,total,total,1,White,0.516,1980
0.456,,Colon and rectum,total,total,1,White,0.544,1983
0.416,,Colon and rectum,total,total,1,White,0.584,1986
0.4,,Colon and rectum,total,total,1,White,0.6,1989
0.381,,Colon and rectum,total,total,1,White,0.619,1992
0.395,,Colon and rectum,total,total,1,White,0.605,1995
0.37,,Colon and rectum,total,total,1,White,0.63,1998
0.335,,Colon and rectum,total,total,1,White,0.665,2001
0.33,,Colon and rectum,total,total,1,White,0.67,2006
0.329,0.671,Colon and rectum,total,total,1,White,0.671,2013
0.925,,Esophagus,females,females,1,All races,0.075,1977
0.944,,Esophagus,females,females,1,All races,0.056,1980
0.918,,Esophagus,females,females,1,All races,0.082,1983
0.879,,Esophagus,females,females,1,All races,0.121,1986
0.905,,Esophagus,females,females,1,All races,0.095,1989
0.866,,Esophagus,females,females,1,All races,0.134,1992
0.883,,Esophagus,females,females,1,All races,0.117,1995
0.856,,Esophagus,females,females,1,All races,0.144,1998
0.805,,Esophagus,females,females,1,All races,0.195,2001
0.811,,Esophagus,females,females,1,All races,0.189,2006
0.777,0.223,Esophagus,females,females,1,All races,0.223,2013
0.96,,Esophagus,males,males,1,All races,0.04,1977
0.952,,Esophagus,males,males,1,All races,0.048,1980
0.94,,Esophagus,males,males,1,All races,0.06,1983
0.916,,Esophagus,males,males,1,All races,0.084,1986
0.906,,Esophagus,males,males,1,All races,0.094,1989
0.883,,Esophagus,males,males,1,All races,0.117,1992
0.878,,Esophagus,males,males,1,All races,0.122,1995
0.87,,Esophagus,males,males,1,All races,0.13,1998
0.824,,Esophagus,males,males,1,All races,0.176,2001
0.813,,Esophagus,males,males,1,All races,0.187,2006
0.794,0.206,Esophagus,males,males,1,All races,0.206,2013
0.95,,Esophagus,total,total,1,All races,0.05,1977
0.95,,Esophagus,total,total,1,All races,0.05,1980
0.934,,Esophagus,total,total,1,All races,0.066,1983
0.905,,Esophagus,total,total,1,All races,0.095,1986
0.906,,Esophagus,total,total,1,All races,0.094,1989
0.878,,Esophagus,total,total,1,All races,0.122,1992
0.879,,Esophagus,total,total,1,All races,0.121,1995
0.866,,Esophagus,total,total,1,All races,0.134,1998
0.819,,Esophagus,total,total,1,All races,0.181,2001
0.813,,Esophagus,total,total,1,All races,0.187,2006
0.79,0.21,Esophagus,total,total,1,All races,0.21,2013
0.98,,Esophagus,females,females,1,Black,0.02,1963
0.97,,Esophagus,females,females,1,Black,0.03,1973
0.923,,Esophagus,females,females,1,Black,0.077,1977
0.932,,Esophagus,females,females,1,Black,0.068,1980
0.935,,Esophagus,females,females,1,Black,0.065,1983
0.901,,Esophagus,females,females,1,Black,0.099,1986
0.898,,Esophagus,females,females,1,Black,0.102,1989
0.916,,Esophagus,females,females,1,Black,0.084,1992
0.931,,Esophagus,females,females,1,Black,0.069,1995
0.864,,Esophagus,females,females,1,Black,0.136,1998
0.837,,Esophagus,females,females,1,Black,0.163,2001
0.834,,Esophagus,females,females,1,Black,0.166,2006
0.862,0.138,Esophagus,females,females,1,Black,0.138,2013
1,,Esophagus,males,males,1,Black,0,1963
0.96,,Esophagus,males,males,1,Black,0.04,1973
0.98,,Esophagus,males,males,1,Black,0.02,1977
0.966,,Esophagus,males,males,1,Black,0.034,1980
0.963,,Esophagus,males,males,1,Black,0.037,1983
0.918,,Esophagus,males,males,1,Black,0.082,1986
0.947,,Esophagus,males,males,1,Black,0.053,1989
0.903,,Esophagus,males,males,1,Black,0.097,1992
0.922,,Esophagus,males,males,1,Black,0.078,1995
0.915,,Esophagus,males,males,1,Black,0.085,1998
0.894,,Esophagus,males,males,1,Black,0.106,2001
0.887,,Esophagus,males,males,1,Black,0.113,2006
0.897,0.103,Esophagus,males,males,1,Black,0.103,2013
0.99,,Esophagus,total,total,1,Black,0.01,1963
0.96,,Esophagus,total,total,1,Black,0.04,1973
0.965,,Esophagus,total,total,1,Black,0.035,1977
0.957,,Esophagus,total,total,1,Black,0.043,1980
0.957,,Esophagus,total,total,1,Black,0.043,1983
0.913,,Esophagus,total,total,1,Black,0.087,1986
0.934,,Esophagus,total,total,1,Black,0.066,1989
0.906,,Esophagus,total,total,1,Black,0.094,1992
0.924,,Esophagus,total,total,1,Black,0.076,1995
0.898,,Esophagus,total,total,1,Black,0.102,1998
0.875,,Esophagus,total,total,1,Black,0.125,2001
0.868,,Esophagus,total,total,1,Black,0.132,2006
0.883,0.117,Esophagus,total,total,1,Black,0.117,2013
0.94,,Esophagus,females,females,1,White,0.06,1963
0.96,,Esophagus,females,females,1,White,0.04,1973
0.93,,Esophagus,females,females,1,White,0.07,1977
0.948,,Esophagus,females,females,1,White,0.052,1980
0.91,,Esophagus,females,females,1,White,0.09,1983
0.87,,Esophagus,females,females,1,White,0.13,1986
0.908,,Esophagus,females,females,1,White,0.092,1989
0.852,,Esophagus,females,females,1,White,0.148,1992
0.873,,Esophagus,females,females,1,White,0.127,1995
0.853,,Esophagus,females,females,1,White,0.147,1998
0.803,,Esophagus,females,females,1,White,0.197,2001
0.806,,Esophagus,females,females,1,White,0.194,2006
0.766,0.234,Esophagus,females,females,1,White,0.234,2013
0.96,,Esophagus,males,males,1,White,0.04,1963
0.96,,Esophagus,males,males,1,White,0.04,1973
0.952,,Esophagus,males,males,1,White,0.048,1977
0.947,,Esophagus,males,males,1,White,0.053,1980
0.935,,Esophagus,males,males,1,White,0.065,1983
0.91,,Esophagus,males,males,1,White,0.09,1986
0.89,,Esophagus,males,males,1,White,0.11,1989
0.878,,Esophagus,males,males,1,White,0.122,1992
0.864,,Esophagus,males,males,1,White,0.136,1995
0.861,,Esophagus,males,males,1,White,0.139,1998
0.814,,Esophagus,males,males,1,White,0.186,2001
0.8,,Esophagus,males,males,1,White,0.2,2006
0.78,0.22,Esophagus,males,males,1,White,0.22,2013
0.96,,Esophagus,total,total,1,White,0.04,1963
0.96,,Esophagus,total,total,1,White,0.04,1973
0.945,,Esophagus,total,total,1,White,0.055,1977
0.947,,Esophagus,total,total,1,White,0.053,1980
0.927,,Esophagus,total,total,1,White,0.073,1983
0.898,,Esophagus,total,total,1,White,0.102,1986
0.895,,Esophagus,total,total,1,White,0.105,1989
0.871,,Esophagus,total,total,1,White,0.129,1992
0.866,,Esophagus,total,total,1,White,0.134,1995
0.859,,Esophagus,total,total,1,White,0.141,1998
0.811,,Esophagus,total,total,1,White,0.189,2001
0.801,,Esophagus,total,total,1,White,0.199,2006
0.777,0.223,Esophagus,total,total,1,White,0.223,2013
0.644,,Leukemia,females,females,1,All races,0.356,1977
0.627,,Leukemia,females,females,1,All races,0.373,1980
0.622,,Leukemia,females,females,1,All races,0.378,1983
0.589,,Leukemia,females,females,1,All races,0.411,1986
0.587,,Leukemia,females,females,1,All races,0.413,1989
0.54,,Leukemia,females,females,1,All races,0.46,1992
0.536,,Leukemia,females,females,1,All races,0.464,1995
0.52,,Leukemia,females,females,1,All races,0.48,1998
0.505,,Leukemia,females,females,1,All races,0.495,2001
0.411,,Leukemia,females,females,1,All races,0.589,2006
0.383,0.617,Leukemia,females,females,1,All races,0.617,2013
0.67,,Leukemia,males,males,1,All races,0.33,1977
0.65,,Leukemia,males,males,1,All races,0.35,1980
0.631,,Leukemia,males,males,1,All races,0.369,1983
0.599,,Leukemia,males,males,1,All races,0.401,1986
0.56,,Leukemia,males,males,1,All races,0.44,1989
0.554,,Leukemia,males,males,1,All races,0.446,1992
0.516,,Leukemia,males,males,1,All races,0.484,1995
0.515,,Leukemia,males,males,1,All races,0.485,1998
0.481,,Leukemia,males,males,1,All races,0.519,2001
0.401,,Leukemia,males,males,1,All races,0.599,2006
0.348,0.652,Leukemia,males,males,1,All races,0.652,2013
0.659,,Leukemia,total,total,1,All races,0.341,1977
0.64,,Leukemia,total,total,1,All races,0.36,1980
0.627,,Leukemia,total,total,1,All races,0.373,1983
0.595,,Leukemia,total,total,1,All races,0.405,1986
0.571,,Leukemia,total,total,1,All races,0.429,1989
0.548,,Leukemia,total,total,1,All races,0.452,1992
0.525,,Leukemia,total,total,1,All races,0.475,1995
0.517,,Leukemia,total,total,1,All races,0.483,1998
0.491,,Leukemia,total,total,1,All races,0.509,2001
0.405,,Leukemia,total,total,1,All races,0.595,2006
0.363,0.637,Leukemia,total,total,1,All races,0.637,2013
0.633,,Leukemia,females,females,1,Black,0.367,1977
0.707,,Leukemia,females,females,1,Black,0.293,1980
0.657,,Leukemia,females,females,1,Black,0.343,1983
0.659,,Leukemia,females,females,1,Black,0.341,1986
0.622,,Leukemia,females,females,1,Black,0.378,1989
0.587,,Leukemia,females,females,1,Black,0.413,1992
0.591,,Leukemia,females,females,1,Black,0.409,1995
0.62,,Leukemia,females,females,1,Black,0.38,1998
0.581,,Leukemia,females,females,1,Black,0.419,2001
0.492,,Leukemia,females,females,1,Black,0.508,2006
0.439,0.561,Leukemia,females,females,1,Black,0.561,2013
0.696,,Leukemia,males,males,1,Black,0.304,1977
0.727,,Leukemia,males,males,1,Black,0.273,1980
0.666,,Leukemia,males,males,1,Black,0.334,1983
0.685,,Leukemia,males,males,1,Black,0.315,1986
0.673,,Leukemia,males,males,1,Black,0.327,1989
0.695,,Leukemia,males,males,1,Black,0.305,1992
0.584,,Leukemia,males,males,1,Black,0.416,1995
0.61,,Leukemia,males,males,1,Black,0.39,1998
0.555,,Leukemia,males,males,1,Black,0.445,2001
0.447,,Leukemia,males,males,1,Black,0.553,2006
0.41,0.59,Leukemia,males,males,1,Black,0.59,2013
0.666,,Leukemia,total,total,1,Black,0.334,1977
0.718,,Leukemia,total,total,1,Black,0.282,1980
0.661,,Leukemia,total,total,1,Black,0.339,1983
0.673,,Leukemia,total,total,1,Black,0.327,1986
0.65,,Leukemia,total,total,1,Black,0.35,1989
0.643,,Leukemia,total,total,1,Black,0.357,1992
0.587,,Leukemia,total,total,1,Black,0.413,1995
0.614,,Leukemia,total,total,1,Black,0.386,1998
0.567,,Leukemia,total,total,1,Black,0.433,2001
0.467,,Leukemia,total,total,1,Black,0.533,2006
0.422,0.578,Leukemia,total,total,1,Black,0.578,2013
0.642,,Leukemia,females,females,1,White,0.358,1977
0.62,,Leukemia,females,females,1,White,0.38,1980
0.615,,Leukemia,females,females,1,White,0.385,1983
0.58,,Leukemia,females,females,1,White,0.42,1986
0.583,,Leukemia,females,females,1,White,0.417,1989
0.532,,Leukemia,females,females,1,White,0.468,1992
0.525,,Leukemia,females,females,1,White,0.475,1995
0.503,,Leukemia,females,females,1,White,0.497,1998
0.494,,Leukemia,females,females,1,White,0.506,2001
0.402,,Leukemia,females,females,1,White,0.598,2006
0.37,0.63,Leukemia,females,females,1,White,0.63,2013
0.664,,Leukemia,males,males,1,White,0.336,1977
0.642,,Leukemia,males,males,1,White,0.358,1980
0.622,,Leukemia,males,males,1,White,0.378,1983
0.587,,Leukemia,males,males,1,White,0.413,1986
0.545,,Leukemia,males,males,1,White,0.455,1989
0.538,,Leukemia,males,males,1,White,0.462,1992
0.506,,Leukemia,males,males,1,White,0.494,1995
0.504,,Leukemia,males,males,1,White,0.496,1998
0.471,,Leukemia,males,males,1,White,0.529,2001
0.392,,Leukemia,males,males,1,White,0.608,2006
0.34,0.66,Leukemia,males,males,1,White,0.66,2013
0.86,,Leukemia,total,total,1,White,0.14,1963
0.78,,Leukemia,total,total,1,White,0.22,1973
0.655,,Leukemia,total,total,1,White,0.345,1977
0.633,,Leukemia,total,total,1,White,0.367,1980
0.619,,Leukemia,total,total,1,White,0.381,1983
0.584,,Leukemia,total,total,1,White,0.416,1986
0.561,,Leukemia,total,total,1,White,0.439,1989
0.536,,Leukemia,total,total,1,White,0.464,1992
0.514,,Leukemia,total,total,1,White,0.486,1995
0.504,,Leukemia,total,total,1,White,0.496,1998
0.48,,Leukemia,total,total,1,White,0.52,2001
0.396,,Leukemia,total,total,1,White,0.604,2006
0.352,0.648,Leukemia,total,total,1,White,0.648,2013
0.937,,Liver,females,females,1,All races,0.063,1977
0.946,,Liver,females,females,1,All races,0.054,1980
0.948,,Liver,females,females,1,All races,0.052,1983
0.905,,Liver,females,females,1,All races,0.095,1986
0.92,,Liver,females,females,1,All races,0.08,1989
0.93,,Liver,females,females,1,All races,0.07,1992
0.939,,Liver,females,females,1,All races,0.061,1995
0.909,,Liver,females,females,1,All races,0.091,1998
0.878,,Liver,females,females,1,All races,0.122,2001
0.844,,Liver,females,females,1,All races,0.156,2006
0.822,0.178,Liver,females,females,1,All races,0.178,2013
0.982,,Liver,males,males,1,All races,0.018,1977
0.978,,Liver,males,males,1,All races,0.022,1980
0.971,,Liver,males,males,1,All races,0.029,1983
0.963,,Liver,males,males,1,All races,0.037,1986
0.968,,Liver,males,males,1,All races,0.032,1989
0.95,,Liver,males,males,1,All races,0.05,1992
0.947,,Liver,males,males,1,All races,0.053,1995
0.917,,Liver,males,males,1,All races,0.083,1998
0.891,,Liver,males,males,1,All races,0.109,2001
0.842,,Liver,males,males,1,All races,0.158,2006
0.813,0.187,Liver,males,males,1,All races,0.187,2013
0.966,,Liver,total,total,1,All races,0.034,1977
0.967,,Liver,total,total,1,All races,0.033,1980
0.963,,Liver,total,total,1,All races,0.037,1983
0.943,,Liver,total,total,1,All races,0.057,1986
0.951,,Liver,total,total,1,All races,0.049,1989
0.944,,Liver,total,total,1,All races,0.056,1992
0.944,,Liver,total,total,1,All races,0.056,1995
0.914,,Liver,total,total,1,All races,0.086,1998
0.887,,Liver,total,total,1,All races,0.113,2001
0.843,,Liver,total,total,1,All races,0.157,2006
0.815,0.185,Liver,total,total,1,All races,0.185,2013
0.944,,Liver,females,females,1,Black,0.056,1977
0.95,,Liver,females,females,1,Black,0.05,1980
0.953,,Liver,females,females,1,Black,0.047,1983
0.909,,Liver,females,females,1,Black,0.091,1986
0.951,,Liver,females,females,1,Black,0.049,1989
0.964,,Liver,females,females,1,Black,0.036,1992
0.927,,Liver,females,females,1,Black,0.073,1995
0.98,,Liver,females,females,1,Black,0.02,1998
0.905,,Liver,females,females,1,Black,0.095,2001
0.84,,Liver,females,females,1,Black,0.16,2006
0.87,0.13,Liver,females,females,1,Black,0.13,2013
1,,Liver,males,males,1,Black,0,1977
0.97,,Liver,males,males,1,Black,0.03,1980
0.979,,Liver,males,males,1,Black,0.021,1983
0.979,,Liver,males,males,1,Black,0.021,1986
0.984,,Liver,males,males,1,Black,0.016,1989
0.98,,Liver,males,males,1,Black,0.02,1992
0.972,,Liver,males,males,1,Black,0.028,1995
0.941,,Liver,males,males,1,Black,0.059,1998
0.932,,Liver,males,males,1,Black,0.068,2001
0.915,,Liver,males,males,1,Black,0.085,2006
0.857,0.143,Liver,males,males,1,Black,0.143,2013
0.982,,Liver,total,total,1,Black,0.018,1977
0.964,,Liver,total,total,1,Black,0.036,1980
0.972,,Liver,total,total,1,Black,0.028,1983
0.956,,Liver,total,total,1,Black,0.044,1986
0.973,,Liver,total,total,1,Black,0.027,1989
0.974,,Liver,total,total,1,Black,0.026,1992
0.96,,Liver,total,total,1,Black,0.04,1995
0.954,,Liver,total,total,1,Black,0.046,1998
0.924,,Liver,total,total,1,Black,0.076,2001
0.895,,Liver,total,total,1,Black,0.105,2006
0.86,0.14,Liver,total,total,1,Black,0.14,2013
0.942,,Liver,females,females,1,White,0.058,1977
0.952,,Liver,females,females,1,White,0.048,1980
0.946,,Liver,females,females,1,White,0.054,1983
0.909,,Liver,females,females,1,White,0.091,1986
0.906,,Liver,females,females,1,White,0.094,1989
0.917,,Liver,females,females,1,White,0.083,1992
0.943,,Liver,females,females,1,White,0.057,1995
0.898,,Liver,females,females,1,White,0.102,1998
0.883,,Liver,females,females,1,White,0.117,2001
0.861,,Liver,females,females,1,White,0.139,2006
0.832,0.168,Liver,females,females,1,White,0.168,2013
0.981,,Liver,males,males,1,White,0.019,1977
0.978,,Liver,males,males,1,White,0.022,1980
0.97,,Liver,males,males,1,White,0.03,1983
0.963,,Liver,males,males,1,White,0.037,1986
0.966,,Liver,males,males,1,White,0.034,1989
0.949,,Liver,males,males,1,White,0.051,1992
0.951,,Liver,males,males,1,White,0.049,1995
0.924,,Liver,males,males,1,White,0.076,1998
0.903,,Liver,males,males,1,White,0.097,2001
0.844,,Liver,males,males,1,White,0.156,2006
0.82,0.18,Liver,males,males,1,White,0.18,2013
0.966,,Liver,total,total,1,White,0.034,1977
0.967,,Liver,total,total,1,White,0.033,1980
0.961,,Liver,total,total,1,White,0.039,1983
0.943,,Liver,total,total,1,White,0.057,1986
0.943,,Liver,total,total,1,White,0.057,1989
0.938,,Liver,total,total,1,White,0.062,1992
0.948,,Liver,total,total,1,White,0.052,1995
0.916,,Liver,total,total,1,White,0.084,1998
0.897,,Liver,total,total,1,White,0.103,2001
0.848,,Liver,total,total,1,White,0.152,2006
0.823,0.177,Liver,total,total,1,White,0.177,2013
0.847,,Lung and bronchus,females,females,1,All races,0.153,1977
0.747,,Myeloma,females,females,1,All races,0.253,1977
0.64,,Ovary,females,females,1,All races,0.36,1977
0.978,,Pancreas,females,females,1,All races,0.022,1977
0.137,,Skin,females,females,1,All races,0.863,1977
0.834,,Stomach,females,females,1,All races,0.166,1977
0.075,,Thyroid,females,females,1,All races,0.925,1977
0.837,,Lung and bronchus,females,females,1,All races,0.163,1980
0.725,,Myeloma,females,females,1,All races,0.275,1980
0.623,,Ovary,females,females,1,All races,0.377,1980
0.97,,Pancreas,females,females,1,All races,0.03,1980
0.123,,Skin,females,females,1,All races,0.877,1980
0.811,,Stomach,females,females,1,All races,0.189,1980
0.064000000,,Thyroid,females,females,1,All races,0.936,1980
0.836,,Lung and bronchus,females,females,1,All races,0.164,1983
0.706,,Myeloma,females,females,1,All races,0.294,1983
0.611,,Ovary,females,females,1,All races,0.389,1983
0.969,,Pancreas,females,females,1,All races,0.031,1983
0.127,,Skin,females,females,1,All races,0.873,1983
0.813,,Stomach,females,females,1,All races,0.187,1983
0.061000000,,Thyroid,females,females,1,All races,0.939,1983
0.84,,Lung and bronchus,females,females,1,All races,0.16,1986
0.731,,Myeloma,females,females,1,All races,0.269,1986
0.616,,Ovary,females,females,1,All races,0.384,1986
0.965,,Pancreas,females,females,1,All races,0.035,1986
0.09,,Skin,females,females,1,All races,0.91,1986
0.791,,Stomach,females,females,1,All races,0.209,1986
0.057000000,,Thyroid,females,females,1,All races,0.943,1986
0.85,,Lung and bronchus,females,females,1,All races,0.15,1989
0.745,,Myeloma,females,females,1,All races,0.255,1989
0.618,,Ovary,females,females,1,All races,0.382,1989
0.963,,Pancreas,females,females,1,All races,0.037,1989
0.085,,Skin,females,females,1,All races,0.915,1989
0.757,,Stomach,females,females,1,All races,0.243,1989
0.048,,Thyroid,females,females,1,All races,0.952,1989
0.841,,Lung and bronchus,females,females,1,All races,0.159,1992
0.721,,Myeloma,females,females,1,All races,0.279,1992
0.595,,Ovary,females,females,1,All races,0.405,1992
0.955,,Pancreas,females,females,1,All races,0.045,1992
0.082,,Skin,females,females,1,All races,0.918,1992
0.746,,Stomach,females,females,1,All races,0.254,1992
0.045,,Thyroid,females,females,1,All races,0.955,1992
0.831,,Lung and bronchus,females,females,1,All races,0.169,1995
0.69,,Myeloma,females,females,1,All races,0.31,1995
0.585,,Ovary,females,females,1,All races,0.415,1995
0.957,,Pancreas,females,females,1,All races,0.043,1995
0.074,,Skin,females,females,1,All races,0.926,1995
0.774,,Stomach,females,females,1,All races,0.226,1995
0.033,,Thyroid,females,females,1,All races,0.967,1995
0.832,,Lung and bronchus,females,females,1,All races,0.168,1998
0.697,,Myeloma,females,females,1,All races,0.303,1998
0.561,,Ovary,females,females,1,All races,0.439,1998
0.959,,Pancreas,females,females,1,All races,0.041,1998
0.073,,Skin,females,females,1,All races,0.927,1998
0.758,,Stomach,females,females,1,All races,0.242,1998
0.031,,Thyroid,females,females,1,All races,0.969,1998
0.821,,Lung and bronchus,females,females,1,All races,0.179,2001
0.681,,Myeloma,females,females,1,All races,0.319,2001
0.561,,Ovary,females,females,1,All races,0.439,2001
0.95,,Pancreas,females,females,1,All races,0.05,2001
0.054,,Skin,females,females,1,All races,0.946,2001
0.748,,Stomach,females,females,1,All races,0.252,2001
0.029,,Thyroid,females,females,1,All races,0.971,2001
0.808,,Lung and bronchus,females,females,1,All races,0.192,2006
0.571,,Myeloma,females,females,1,All races,0.429,2006
0.557,,Ovary,females,females,1,All races,0.443,2006
0.935,,Pancreas,females,females,1,All races,0.065,2006
0.048,,Skin,females,females,1,All races,0.952,2006
0.692,,Stomach,females,females,1,All races,0.308,2006
0.016,,Thyroid,females,females,1,All races,0.984,2006
0.774,0.226,Lung and bronchus,females,females,1,All races,0.226,2013
0.482,0.518,Myeloma,females,females,1,All races,0.518,2013
0.533,0.467,Ovary,females,females,1,All races,0.467,2013
0.917,0.083,Pancreas,females,females,1,All races,0.083,2013
0.043,0.957,Skin,females,females,1,All races,0.957,2013
0.654,0.346,Stomach,females,females,1,All races,0.346,2013
0.013,0.987,Thyroid,females,females,1,All races,0.987,2013
0.889,,Lung and bronchus,males,males,1,All races,0.111,1977
0.761,,Myeloma,males,males,1,All races,0.239,1977
0.974,,Pancreas,males,males,1,All races,0.026,1977
0.322,,Prostate,males,males,1,All races,0.678,1977
0.225,,Skin,males,males,1,All races,0.775,1977
0.856,,Stomach,males,males,1,All races,0.144,1977
0.089,,Thyroid,males,males,1,All races,0.911,1977
0.887,,Lung and bronchus,males,males,1,All races,0.113,1980
0.756,,Myeloma,males,males,1,All races,0.244,1980
0.973,,Pancreas,males,males,1,All races,0.027,1980
0.299,,Prostate,males,males,1,All races,0.701,1980
0.223,,Skin,males,males,1,All races,0.777,1980
0.857,,Stomach,males,males,1,All races,0.143,1980
0.128,,Thyroid,males,males,1,All races,0.872,1980
0.885,,Lung and bronchus,males,males,1,All races,0.115,1983
0.743,,Myeloma,males,males,1,All races,0.257,1983
0.976,,Pancreas,males,males,1,All races,0.024,1983
0.28,,Prostate,males,males,1,All races,0.72,1983
0.216,,Skin,males,males,1,All races,0.784,1983
0.836,,Stomach,males,males,1,All races,0.164,1983
0.078,,Thyroid,males,males,1,All races,0.922,1983
0.888,,Lung and bronchus,males,males,1,All races,0.112,1986
0.723,,Myeloma,males,males,1,All races,0.277,1986
0.977,,Pancreas,males,males,1,All races,0.023,1986
0.248,,Prostate,males,males,1,All races,0.752,1986
0.174,,Skin,males,males,1,All races,0.826,1986
0.845,,Stomach,males,males,1,All races,0.155,1986
0.102,,Thyroid,males,males,1,All races,0.898,1986
0.881,,Lung and bronchus,males,males,1,All races,0.119,1989
0.711,,Myeloma,males,males,1,All races,0.289,1989
0.967,,Pancreas,males,males,1,All races,0.033,1989
0.172,,Prostate,males,males,1,All races,0.828,1989
0.151,,Skin,males,males,1,All races,0.849,1989
0.83,,Stomach,males,males,1,All races,0.17,1989
0.084,,Thyroid,males,males,1,All races,0.916,1989
0.879,,Lung and bronchus,males,males,1,All races,0.121,1992
0.695,,Myeloma,males,males,1,All races,0.305,1992
0.959,,Pancreas,males,males,1,All races,0.041,1992
0.071,,Prostate,males,males,1,All races,0.929,1992
0.13,,Skin,males,males,1,All races,0.87,1992
0.819,,Stomach,males,males,1,All races,0.181,1992
0.095,,Thyroid,males,males,1,All races,0.905,1992
0.875,,Lung and bronchus,males,males,1,All races,0.125,1995
0.678,,Myeloma,males,males,1,All races,0.322,1995
0.963,,Pancreas,males,males,1,All races,0.037,1995
0.048,,Prostate,males,males,1,All races,0.952,1995
0.127,,Skin,males,males,1,All races,0.873,1995
0.799,,Stomach,males,males,1,All races,0.201,1995
0.084,,Thyroid,males,males,1,All races,0.916,1995
0.871,,Lung and bronchus,males,males,1,All races,0.129,1998
0.755,,Myeloma,males,males,1,All races,0.245,1998
0.954,,Pancreas,males,males,1,All races,0.046,1998
0.026,,Prostate,males,males,1,All races,0.974,1998
0.105,,Skin,males,males,1,All races,0.895,1998
0.79,,Stomach,males,males,1,All races,0.21,1998
0.09,,Thyroid,males,males,1,All races,0.91,1998
0.869,,Lung and bronchus,males,males,1,All races,0.131,2001
0.632,,Myeloma,males,males,1,All races,0.368,2001
